Plot ,Treatment,Tag ,Species me,  Habit,Psi_pd,Psi_md,An,gs,WUE,SM,day,month,year,date
1,unwatereded,1,Doliocarpus major ,lia,-1.693,-4.862,,,,17.2398,3,4,2015,4/3/2015
1,unwatereded,1,Doliocarpus major ,lia,-2.59,-3.007,,,,17.871,2,3,2015,3/2/2015
1,unwatereded,1,Doliocarpus major ,lia,-0.464,-1.163,,,,21.816,12,5,2015,5/12/2015
1,unwatereded,1,Doliocarpus major ,lia,-0.142,-0.732,,,,57.8996,3,9,2015,9/3/2015
1,unwatereded,4,Paullinia pinta  ,lia,-0.72,-2.264,,,,16.556,11,4,2015,4/11/2015
1,unwatereded,4,Paullinia pinta  ,lia,-0.286,-2.363,,,,19.2912,2,3,2015,3/2/2015
1,unwatereded,4,Paullinia pinta  ,lia,-0.521,-1.564,,,,23.4992,12,5,2015,5/12/2015
1,unwatereded,4,Paullinia pinta  ,lia,-0.17,-1.004,,,,49.431,3,9,2015,9/3/2015
1,unwatereded,4,Paullinia pinta  ,lia,-0.061,-0.851,15.5,0.385,40.25974026,,13,10,2015,10/13/2015
1,unwatereded,6,Termilia amazonia  ,tree,-0.681,-2.267,,,,16.03,7,4,2015,4/7/2015
1,unwatereded,6,Termilia amazonia  ,tree,-0.702,-1.827,,,,20.8692,4,3,2015,3/4/2015
1,unwatereded,6,Termilia amazonia  ,tree,-0.053,-0.719,,,,27.9702,4,5,2015,5/4/2015
1,unwatereded,6,Termilia amazonia  ,tree,-0.041,-0.617,,,,54.2176,3,9,2015,9/3/2015
1,unwatereded,6,Termilia amazonia  ,tree,-0.042,-0.341,12.9,0.472,27.33050847,,13,10,2015,10/13/2015
1,unwatereded,7,Doliocarpus major ,lia,-2.687,-4.452,,,,18.3444,13,3,2015,3/13/2015
1,unwatereded,7,Doliocarpus major ,lia,-1.661,-4.942,,,,18.5548,8,4,2015,4/8/2015
1,unwatereded,7,Doliocarpus major ,lia,-0.485,-1.108,,,,26.55,5,5,2015,5/5/2015
1,unwatereded,7,Doliocarpus major ,lia,-0.16,-0.629,,,,55.0066,3,9,2015,9/3/2015
1,unwatereded,7,Doliocarpus major ,lia,-0.082,-0.366,12.9,0.311,41.47909968,,13,10,2015,10/13/2015
1,unwatereded,14,Swietenia macrophylla ,tree,-0.15,-1.098,14.8,0.312,47.43589744,,13,10,2015,10/13/2015
1,unwatereded,18,Swietenia macrophylla ,tree,-1.942,-2.839,,,,17.9236,3,3,2015,3/3/2015
1,unwatereded,18,Swietenia macrophylla ,tree,-3.55,-3.562,,,,18.3444,11,4,2015,4/11/2015
1,unwatereded,18,Swietenia macrophylla ,tree,-0.544,-1.205,,,,22.6576,9,5,2015,5/9/2015
1,unwatereded,18,Swietenia macrophylla ,tree,-0.335,-0.573,,,,51.272,3,9,2015,9/3/2015
1,unwatereded,22,Machaerium milleflorum ,lia,-0.792,-2.045,,,,15.9248,7,4,2015,4/7/2015
1,unwatereded,22,Machaerium milleflorum ,lia,-0.182,-1.917,,,,16.8716,6,3,2015,3/6/2015
1,unwatereded,22,Machaerium milleflorum ,lia,-0.345,-1.049,,,,23.8148,5,5,2015,5/5/2015
1,unwatereded,22,Machaerium milleflorum ,lia,-0.169,-1.401,,,,54.6384,3,9,2015,9/3/2015
1,unwatereded,23,Callichlamys latifolia  ,lia,-0.257,-0.813,11.4,0.396,28.78787879,,13,10,2015,10/13/2015
1,unwatereded,25,Maripa pamensis  ,lia,-0.755,-1.595,,,,15.6618,9,3,2015,3/9/2015
1,unwatereded,25,Maripa pamensis  ,lia,-0.849,-1.391,,,,16.9242,11,4,2015,4/11/2015
1,unwatereded,25,Maripa pamensis  ,lia,-0.455,-1.042,,,,27.3916,5,5,2015,5/5/2015
1,unwatereded,25,Maripa pamensis  ,lia,-0.091,-0.899,,,,54.2702,3,9,2015,9/3/2015
1,unwatereded,41,Hura crepitans  ,tree,-0.238,-0.405,14.4,0.645,22.3255814,,13,10,2015,10/13/2015
1,unwatereded,44,Crescentia cujete  ,tree,-0.232,-0.81,10.5,0.286,36.71328671,,13,10,2015,10/13/2015
1,unwatereded,50,Davilla kunthii,lia,-1.364,-2.001,,,,17.2924,8,4,2015,4/8/2015
1,unwatereded,50,Davilla kunthii,lia,-0.403,-2.213,,,,18.1866,6,3,2015,3/6/2015
1,unwatereded,50,Davilla kunthii,lia,-0.341,-0.984,,,,19.186,12,5,2015,5/12/2015
1,unwatereded,50,Davilla kunthii,lia,-0.058,-0.943,,,,46.6958,3,9,2015,9/3/2015
1,unwatereded,50,Davilla kunthii,lia,-0.098,-0.853,17.7,0.384,46.09375,,13,10,2015,10/13/2015
1,unwatereded,60,Machaerium milleflorum ,lia,-0.605,-1.677,5.49,0.056,98.03571429,18.134,6,4,2015,4/6/2015
1,unwatereded,60,Machaerium milleflorum ,lia,-0.702,-2.384,,,,19.9224,7,3,2015,3/7/2015
1,unwatereded,60,Machaerium milleflorum ,lia,-0.262,-0.873,,,,32.2308,5,5,2015,5/5/2015
1,unwatereded,60,Machaerium milleflorum ,lia,-0.214,-1.301,,,,54.5332,3,9,2015,9/3/2015
1,unwatereded,60,Machaerium milleflorum ,lia,-0.085,-0.397,7.38,0.211,34.97630332,,13,10,2015,10/13/2015
1,unwatereded,61,Termilia amazonia  ,tree,-1.005,-1.975,,,,18.397,4,4,2015,4/4/2015
1,unwatereded,61,Termilia amazonia  ,tree,-0.966,-1.369,,,,19.712,9,3,2015,3/9/2015
1,unwatereded,61,Termilia amazonia  ,tree,-0.246,-0.582,,,,23.8674,8,5,2015,5/8/2015
1,unwatereded,61,Termilia amazonia  ,tree,-0.139,-0.821,,,,52.1136,3,9,2015,9/3/2015
1,unwatereded,75,Dipteryx oleifera  ,tree,-1.001,-3.638,,,,19.2912,11,4,2015,4/11/2015
1,unwatereded,75,Dipteryx oleifera  ,tree,-2.345,-3.283,,,,21.9738,7,3,2015,3/7/2015
1,unwatereded,75,Dipteryx oleifera  ,tree,-0.218,-1.301,,,,26.6552,8,5,2015,5/8/2015
1,unwatereded,75,Dipteryx oleifera  ,tree,-0.183,-1.262,,,,49.3784,3,9,2015,9/3/2015
1,unwatereded,75,Dipteryx oleifera  ,tree,-0.075,-0.59,8.94,0.249,35.90361446,,13,10,2015,10/13/2015
1,unwatereded,82,Maripa pamensis  ,lia,-0.769,-1.869,,,,19.2386,3,4,2015,4/3/2015
